Results from heasarc_chanmaster: Chandra Observations
Coordinate system:  Equatorial
|obsid|status     |name                                  |ra         |dec        |time               |detector|grating|exposure|type|pi              |public_date|_Search_Offset             |
| 1850|archived   |PSR J0437-4715                        |04 37 15.80|-47 15 08.2|2000-10-06 17:17:22|HRC-S   |NONE   |   19710|GO  |Pavlov          | 2001-11-27|  4.206 (SWIFTJ0437.4-4713)|
| 7216|archived   |PSR J0437-4715                        |04 37 15.80|-47 15 08.4|2006-02-10 10:52:31|ACIS-S  |NONE   |   18910|CAL |Calibration     | 2006-02-13|  4.209 (SWIFTJ0437.4-4713)|
| 6157|archived   |PSR J0437-4715                        |04 37 15.80|-47 15 08.4|2005-10-10 15:38:30|ACIS-S  |NONE   |    9450|CAL |Calibration     | 2005-10-12|  4.209 (SWIFTJ0437.4-4713)|
|11498|archived   |PKS 0442-28                           |04 44 37.70|-28 09 54.6|2010-06-23 16:42:05|ACIS-S  |NONE   |   20040|GO  |Hardcastle      | 2011-06-24|  0.003 (SWIFTJ0445.0-2816)|
|11612|archived   |ESO 362-G18                           |05 19 35.80|-32 39 28.0|2010-06-03 03:30:00|ACIS-S  |NONE   |   10180|GO  |Miniutti        | 2011-06-04|  0.003 (SWIFTJ0501.9-3239)|
|11608|archived   |ESO 362-G18                           |05 19 35.80|-32 39 28.0|2010-05-18 08:18:34|ACIS-S  |NONE   |   10180|GO  |Miniutti        | 2011-05-19|  0.003 (SWIFTJ0501.9-3239)|
|11611|archived   |ESO 362-G18                           |05 19 35.80|-32 39 28.0|2010-05-25 19:22:17|ACIS-S  |NONE   |   10180|GO  |Miniutti        | 2011-05-27|  0.003 (SWIFTJ0501.9-3239)|
|11609|archived   |ESO 362-G18                           |05 19 35.80|-32 39 28.0|2010-05-19 14:31:13|ACIS-S  |NONE   |   10180|GO  |Miniutti        | 2011-05-20|  0.003 (SWIFTJ0501.9-3239)|
|11610|archived   |ESO 362-G18                           |05 19 35.80|-32 39 28.0|2010-05-21 23:45:47|ACIS-S  |NONE   |   10130|GO  |Miniutti        | 2011-05-24|  0.003 (SWIFTJ0501.9-3239)|
|11238|archived   |SN 2010jr                             |05 19 34.47|-32 39 14.6|2010-12-12 19:07:30|ACIS-S  |NONE   |    9550|TOO |Pooley          | 2011-12-13|  0.359 (SWIFTJ0501.9-3239)|
|16539|archived   |Ark 120                               |05 16 11.40|-00 08 59.6|2014-03-17 07:47:58|ACIS-S  |HETG   |   64030|GO  |Porquet         | 2015-03-24|  0.008 (SWIFTJ0516.2-0009)|
|16540|archived   |Ark 120                               |05 16 11.40|-00 08 59.6|2014-03-22 13:55:12|ACIS-S  |HETG   |   48030|GO  |Porquet         | 2015-03-24|  0.008 (SWIFTJ0516.2-0009)|
|15636|archived   |Ark 120                               |05 16 11.40|-00 08 59.6|2014-03-21 04:38:43|ACIS-S  |HETG   |   10410|GO  |Porquet         | 2015-03-24|  0.008 (SWIFTJ0516.2-0009)|
|14223|archived   |Pictor A Jet                          |05 19 44.00|-45 46 32.0|2014-04-21 11:29:19|ACIS-S  |NONE   |   50780|GO  |Hardcastle      | 2016-01-13|  1.017 (SWIFTJ0519.5-4545)|
|15593|archived   |Pictor A Jet                          |05 19 44.00|-45 46 32.0|2013-08-23 13:58:46|ACIS-S  |NONE   |   49960|GO  |Hardcastle      | 2015-01-21|  1.017 (SWIFTJ0519.5-4545)|
|14357|archived   |Pictor A Jet                          |05 19 44.00|-45 46 32.0|2012-06-17 03:58:50|ACIS-S  |NONE   |   49960|GO  |Hardcastle      | 2013-11-09|  1.017 (SWIFTJ0519.5-4545)|
| 4369|archived   |PICTOR A - WEST                       |05 19 26.20|-45 45 53.5|2002-09-22 20:53:43|ACIS-S  |NONE   |   49760|GO  |Wilson          | 2003-09-26|  4.187 (SWIFTJ0519.5-4545)|
| 3090|archived   |PICTOR A - WEST                       |05 19 26.20|-45 45 53.5|2002-09-17 13:24:47|ACIS-S  |NONE   |   46960|GO  |Wilson          | 2003-09-26|  4.187 (SWIFTJ0519.5-4545)|
|14222|archived   |Pictor A Jet                          |05 19 44.00|-45 46 32.0|2014-01-17 09:45:53|ACIS-S  |NONE   |   45960|GO  |Hardcastle      | 2015-01-21|  1.017 (SWIFTJ0519.5-4545)|
|14221|archived   |Pictor A Jet                          |05 19 44.00|-45 46 32.0|2012-11-06 22:13:54|ACIS-S  |NONE   |   37960|GO  |Hardcastle      | 2013-11-09|  1.017 (SWIFTJ0519.5-4545)|
|  346|archived   |PICTOR A                              |05 19 49.70|-45 46 45.0|2000-01-18 00:33:39|ACIS-S  |NONE   |   28590|GTO |Wilson          | 2001-07-10|  0.020 (SWIFTJ0519.5-4545)|
|16478|archived   |Pictor A Jet                          |05 19 44.00|-45 46 32.0|2015-01-09 16:22:42|ACIS-S  |NONE   |   27160|GO  |Hardcastle      | 2016-01-13|  1.017 (SWIFTJ0519.5-4545)|
|12039|archived   |Pictor A Jet                          |05 19 44.00|-45 46 32.0|2009-12-07 06:55:24|ACIS-S  |NONE   |   24040|GO  |Hardcastle      | 2010-12-15|  1.017 (SWIFTJ0519.5-4545)|
|17574|archived   |Pictor A Jet                          |05 19 44.00|-45 46 32.0|2015-01-10 16:41:56|ACIS-S  |NONE   |   18860|GO  |Hardcastle      | 2016-01-13|  1.017 (SWIFTJ0519.5-4545)|
|12040|archived   |Pictor A Jet                          |05 19 44.00|-45 46 32.0|2009-12-09 23:10:50|ACIS-S  |NONE   |   17540|GO  |Hardcastle      | 2010-12-15|  1.017 (SWIFTJ0519.5-4545)|
|11586|archived   |Pictor A Jet                          |05 19 44.00|-45 46 32.0|2009-12-12 14:22:08|ACIS-S  |NONE   |   14440|GO  |Hardcastle      | 2010-12-15|  1.017 (SWIFTJ0519.5-4545)|
|15580|archived   |Pictor A Jet                          |05 19 44.00|-45 46 32.0|2012-11-08 23:55:04|ACIS-S  |NONE   |   10620|GO  |Hardcastle      | 2013-11-09|  1.017 (SWIFTJ0519.5-4545)|
|  443|archived   |PICTOR A                              |05 19 49.70|-45 46 45.0|2000-06-28 09:21:53|ACIS-S  |NONE   |    5580|GTO |Wilson          | 2001-07-10|  0.020 (SWIFTJ0519.5-4545)|
|  345|archived   |PICTOR A                              |05 19 49.70|-45 46 45.0|1999-11-02 07:09:59|ACIS-S  |NONE   |    1360|GTO |Wilson          | 2000-12-08|  0.020 (SWIFTJ0519.5-4545)|
|15658|archived   |RXC J0528.9-3927                      |05 28 45.01|-39 26 00.3|2013-06-23 07:27:03|ACIS-I  |NONE   |   73080|GO  |Kraft           | 2014-06-28| 11.823 (SWIFTJ0528.1-3933)|
| 4994|archived   |RXCJ0528.9-3927                       |05 28 56.30|-39 27 46.0|2004-03-10 11:18:14|ACIS-I  |NONE   |   22750|GO  |Boehringer      | 2005-03-12| 12.351 (SWIFTJ0528.1-3933)|
|15177|archived   |RXC J0528.9-3927                      |05 28 45.01|-39 26 00.3|2013-06-21 17:49:34|ACIS-I  |NONE   |   17080|GO  |Kraft           | 2014-06-28| 11.823 (SWIFTJ0528.1-3933)|
