Results from heasarc_xmmmaster: XMM-Newton Master Log & Public Archive
Coordinate system:  Equatorial
|obsid     |status   |name                |ra         |dec        |time               |duration|pi_lname            |pi_fname      |public_date|data_in_heasarc|_Search_Offset             |
|0307001301|archived |Mrk 618             |04 36 22.24|-10 22 33.8|2006-02-15 16:40:01|   18110|Gelbord             |Jonathan      | 2007-03-02|Y              |  0.014 (SWIFTJ0436.3-1022)|
|0112320201|archived |PSR J0437-4715      |04 37 16.00|-47 15 08.0|2002-10-09 03:32:34|   69450|Aschenbach          |Bernd         | 2004-02-19|Y              |  4.186 (SWIFTJ0437.4-4713)|
|0603460101|archived |PSR J0437-4715      |04 37 15.76|-47 15 07.8|2009-12-15 19:40:32|  129385|Bogdanov            |Slavko        | 2011-01-12|Y              |  4.204 (SWIFTJ0437.4-4713)|
|0301450101|archived |H 0439-272          |04 41 22.60|-27 08 20.0|2005-08-13 13:08:25|   20517|Matt                |Giorgio       | 2006-09-20|Y              |  0.018 (SWIFTJ0441.2-2704)|
|0103861901|archived |MCG -01-13-025      |04 51 41.00|-03 48 34.0|2000-08-29 21:06:09|   19969|Aschenbach          |Bernd         | 2003-09-19|Y              |  0.129 (SWIFTJ0451.4-0346)|
|0103863001|archived |MCG -01-13-025      |04 51 41.00|-03 48 34.0|2002-08-28 05:53:55|    7177|Aschenbach          |Bernd         | 2003-09-19|Y              |  0.129 (SWIFTJ0451.4-0346)|
|0103861401|archived |MCG -01-13-025      |04 51 41.00|-03 48 34.0|2000-08-30 02:44:14|   13013|Aschenbach          |Bernd         | 2003-09-19|Y              |  0.129 (SWIFTJ0451.4-0346)|
|0103862701|archived |MCG -01-13-025      |04 51 41.00|-03 48 34.0|2002-03-22 06:50:06|    8267|Aschenbach          |Bernd         | 2003-09-19|Y              |  0.129 (SWIFTJ0451.4-0346)|
|0155555201|archived |dummy               |04 51 41.00|-03 48 34.0|2002-08-14 04:26:22|    1191|Jansen XMM-Newton PS|Fred          | 2002-08-13|Y              |  0.129 (SWIFTJ0451.4-0346)|
|0401790201|archived |LEDA 168563         |04 52 05.00|+49 32 45.0|2007-02-26 23:32:11|   12413|Bassani             |Loredana      | 2008-03-15|Y              |  0.037 (SWIFTJ0452.2+4933)|
|0790810101|archived |ESO 362-G18         |05 19 35.81|-32 39 28.0|2016-09-24 19:39:21|  120800|GARCIA              |JAVIER ADOLFO | 2017-10-16|Y              |  0.001 (SWIFTJ0501.9-3239)|
|0312190701|archived |ESO 362-G018 SWIFT  |05 19 35.82|-32 39 27.9|2006-01-28 10:46:47|   11912|Schartel (DDT)      |Norbert       | 2007-02-09|Y              |  0.002 (SWIFTJ0501.9-3239)|
|0610180101|archived |ESO 362-G18         |05 19 35.80|-32 39 28.0|2010-01-29 00:49:35|   76917|Miniutti            |Giovanni      | 2011-03-01|Y              |  0.003 (SWIFTJ0501.9-3239)|
|0502091201|archived |IRAS05078+1626      |05 10 45.51|+16 29 55.8|2007-08-22 15:57:29|    4529|Guainazzi           |Matteo        | 2008-09-29|Y              |  0.041 (SWIFTJ0510.7+1629)|
|0502090501|archived |IRAS05078+1626      |05 10 45.51|+16 29 55.8|2007-08-21 22:24:49|   61854|Guainazzi           |Matteo        | 2008-09-29|Y              |  0.041 (SWIFTJ0510.7+1629)|
|0693781501|archived |Ark 120             |05 16 11.40|-00 08 59.0|2013-02-18 11:39:53|  130458|Matt                |Giorgio       | 2014-03-01|Y              |  0.003 (SWIFTJ0516.2-0009)|
|0721600301|archived |ARK 120             |05 16 11.40|-00 08 59.6|2014-03-20 08:41:22|  131799|Porquet             |Delphine      | 2015-04-28|Y              |  0.008 (SWIFTJ0516.2-0009)|
|0721600201|archived |ARK 120             |05 16 11.40|-00 08 59.6|2014-03-18 08:35:23|  132700|Porquet             |Delphine      | 2015-04-28|Y              |  0.008 (SWIFTJ0516.2-0009)|
|0721600501|archived |ARK 120             |05 16 11.40|-00 08 59.6|2014-03-24 07:59:53|  133300|Porquet             |Delphine      | 2015-04-28|Y              |  0.008 (SWIFTJ0516.2-0009)|
|0721600401|archived |ARK 120             |05 16 11.40|-00 08 59.6|2014-03-22 08:07:51|  133300|Porquet             |Delphine      | 2015-04-28|Y              |  0.008 (SWIFTJ0516.2-0009)|
|0147190101|archived |Ark 120             |05 16 11.47|-00 09 00.6|2003-08-24 05:35:43|  112147|Vaughan             |Simon         | 2004-09-24|Y              |  0.029 (SWIFTJ0516.2-0009)|
|0550640101|archived |MCG-02-14-009       |05 16 21.22|-10 33 41.4|2009-02-27 16:21:10|  125078|Porquet             |Delphine      | 2010-03-25|Y              |  0.000 (SWIFTJ0516.4-1034)|
|0550640201|archived |MCG-02-14-009       |05 16 21.22|-10 33 41.4|2009-02-27 13:58:03|    7328|Porquet             |Delphine      | 2010-03-25|Y              |  0.000 (SWIFTJ0516.4-1034)|
|0103860701|archived |MCG -02-14-009      |05 16 21.00|-10 33 40.0|2000-09-04 00:28:56|    9109|Aschenbach          |Bernd         | 2002-09-07|Y              |  0.059 (SWIFTJ0516.4-1034)|
|0090050701|archived |PICTOR A            |05 19 49.70|-45 46 44.0|2001-03-17 12:28:25|   20409|Grandi              |Paola         | 2003-01-06|Y              |  0.005 (SWIFTJ0519.5-4545)|
|0090050801|archived |PICTOR A            |05 19 49.70|-45 46 44.0|2001-03-17 09:55:01|    8456|Grandi              |Paola         | 2003-01-06|Y              |  0.005 (SWIFTJ0519.5-4545)|
